_id,fingerprint,doi_x,name,Ce,Sbet,calcination_temp,calcination_time,Dpore,Vtotal,calcination_flowing_gas,calcination_reactive_gas,synthesis_para,synthesis,description,particle_size_nm,crystallite_size_nm,phase_types,phase_flag,microscopy,morphology,image_path,pretreatment_temp_x,pretreatment_o2_vol%,pretreatment_time_h,osc,hierarchical,lattice_parameter_A,Zr,Cu,Ea_apparent,Ni,Pr,Sn,Hf,La,Mn,Fe,Co,Sm,Zn,Nd,Pm,Ag,Ru,Eu,Tb,Gd,Bi,Cr,Y,Ti,deposit,Sr,Sc,Yb,Nb,Al,Ga,Ho,Lu,single_phase_binary,material_id,h2_vol%,pretreatment_temp_y,pretreatment_time,start_temp,ramp_rate_C_min,doi_y,pretreatment_oxidising,flow_rate_mL_min
6967aee15220ac46b0141225,f9208e4886f9442012ead7a002f603b5b9d6e7fa,10.1016/j.fuel.2023.127529,CuCe0.7Zr0.3,0.5686274509803921,84.2,500.0,4.0,3.4,0.06,0.0,0.0,"A series of CuO-CexZr1-xOy catalysts were prepared by a novel surfactant assisted grinding method. In a typical procedure, appropriate amounts of nitrate salts of Cu, Ce and Zr, and oxalic acid (the molar ratio of oxalic acid to metal ions = 1.7:1; the content of CuO was fixed at 10 wt% based on our previous study [28]) were manually ground in an agate mortar for 5 min. Then, an appropriate amount of surfactant PEG 600 was added to the mixture and ground for further 25 min. After that, all the components became a uniform, viscous and muddy precursor. Then, it was dried at 65 ◦C for 24 h, calcined in air at 500 ◦C for 4 h with a heating rate of 5 ◦C/min to obtain the CuO-CexZr1-xOy catalysts. The molar contents of Ce in the CexZr1-xOy were x = 1, 0.7, 0.5, 0.3 and 0, and the corresponding catalysts were denoted as CuCe, CuCe0.7Zr0.3, CuCe0.5Zr0.5, CuCe0.3Zr0.7 and CuZr, respectively.",surfactant assisted solid grinding,,,18.4,t-ZrO2 &  m-ZrO2 & m-CuO,multi,False,,,200.0,0.0,0.5,,False,,0.23529411764705882,0.19607843137254902,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6967aee15220ac46b0141225,10.0,200.0,0.5,25.0,10.0,10.1016/j.fuel.2023.127529,0,
6967aee35220ac46b0141227,c64f73a7ebe4980bb23a0cc1511878bbfedf3856,10.1016/j.fuel.2023.127529,CuCe,0.78,59.7,500.0,4.0,4.1,0.07,0.0,0.0,"A series of CuO-CexZr1-xOy catalysts were prepared by a novel surfactant assisted grinding method. In a typical procedure, appropriate amounts of nitrate salts of Cu, Ce and Zr, and oxalic acid (the molar ratio of oxalic acid to metal ions = 1.7:1; the content of CuO was fixed at 10 wt% based on our previous study [28]) were manually ground in an agate mortar for 5 min. Then, an appropriate amount of surfactant PEG 600 was added to the mixture and ground for further 25 min. After that, all the components became a uniform, viscous and muddy precursor. Then, it was dried at 65 ◦C for 24 h, calcined in air at 500 ◦C for 4 h with a heating rate of 5 ◦C/min to obtain the CuO-CexZr1-xOy catalysts. The molar contents of Ce in the CexZr1-xOy were x = 1, 0.7, 0.5, 0.3 and 0, and the corresponding catalysts were denoted as CuCe, CuCe0.7Zr0.3, CuCe0.5Zr0.5, CuCe0.3Zr0.7 and CuZr, respectively.",surfactant assisted solid grinding,,,,Fluorite,single,False,,,200.0,0.0,0.5,,False,,0.0,0.22,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6967aee35220ac46b0141227,10.0,200.0,0.5,25.0,10.0,10.1016/j.fuel.2023.127529,0,
6967aef55220ac46b014123a,826ce68c569771c471a3c3a1003a6b8da002f284,10.1016/j.surfcoat.2018.09.035,Ce0.8Cu0.2O2,0.8,32.0,550.0,4.0,11.0,0.0875,0.0,0.0,"The different mixed oxide catalysts were prepared by slightly modified two-steps solution combustion synthesis using Ce(NO3)3.6H2O and Cu(NO3)2.3H2O as oxidizers and citric acid (C6H8O7) as a fuel [23]. For the synthesis of CeO2, CuO and CexCux−1O2 mixed oxides, appropriate volumes of 0.5 M stock solutions of cerium nitrate, copper nitrate and citric acid, all dissolved in ultrapure deionized water, were mixed together. For the synthesis of CexCu1−xO2−δ, a suitable amount of copper nitrate was used to obtain catalysts with the general formula CexCu1−xO2−δ, where x = 0, 0.3, 0.5, 0.7, 0.8, 0.9, 1. For all catalysts, the amount of citric acid was chosen so that the mole ratio of the citric acid to the total metal ions is 1.5:1 (slight excess of citric acid). The reaction mixture of the metal nitrate precursors and the fuel were heated under stirring in a beaker placed in a sand-bath over a hotplate at 90 °C. The reaction mixture was left under heating and stirring till evaporation of excess water and formation of gel-like material. The gel-like material formed was then transferred to a muffle furnace pre-heated to 380 °C and was kept at this temperature for 4 h leading to combustion and formation of spongy solid product. The spongy solid product was calcined in static air at 550 °C for 4 h with heating rate of 5 °C/min. Finally, the resulting solid was ground to fine powder and used as is for characterization and catalytic testing.",solution combustion,pure,,12.83,Fluorite,single,True,sponge,SEM_500nm_6967aef55220ac46b014123a.png,0.0,0.0,0.0,,False,5.417,0.0,0.2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6967aef55220ac46b014123a,10.0,500.0,2.0,,30.0,10.1016/j.surfcoat.2018.09.035,1,30.0
6967aef95c48023e106c0408,59e1f62cd1ee3f8b2308f25e305990c2977cef3c,10.1039/C5RA00557D,CZS,0.8,74.0,500.0,5.0,10.0,0.1452,0.0,0.0,"The optimized Ce0.80Hf0.12Sn0.08O2−δ (CHS), Ce0.80Zr0.12Sn0.08O2−δ (CZS), Ce0.80Pr0.12Sn0.08O2−δ (CPS), and Ce0.80La0.12Sn0.08O2−δ (CLS) (mol ratio based on oxides) ternary oxide solid solutions were synthesized by a coprecipitation method. In detail, the desired quantities (see Table S1, ESI†) of Ce(NO3)3·6H2O, SnCl4·5H2O, and other respective metal precursors such as HfCl4, ZrO(NO3)2·xH2O, Pr(NO3)3·6H2O, and La(NO3)3·6H2O were dissolved in distilled water separately and then mixed together for 1 h. Under constant stirring, aqueous ammonia solution was added dropwise to the mixture until the precipitation was complete, at which point the pH was approximately 9.0. The resulting suspensions were stirred for another 12 h, aged for 24 h and then vacuum filtered. Afterwards, the precipitates were washed thoroughly with distilled water and the obtained solids were dried at 373 K overnight and finally calcined at 773 K for 5 h. For comparison, the same synthesis route was employed for the preparation of CeO2.",co-precipitation,co-doped solid solutions undoped co-doping,,10.0,Fluorite,single,True,polyhedra,TEM_20nm_6967aef95c48023e106c0408.png,300.0,0.0,1.0,,False,0.5376,0.12,0.0,,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6967aef95c48023e106c0408,5.0,200.0,0.0,25.0,10.0,10.1039/C5RA00557D,0,20.0
6967aef95c48023e106c0409,55aa029c038b683ddfcbed606a478427e95bc582,10.1039/C5RA00557D,CLS,0.8,85.0,500.0,5.0,6.3,0.1384,0.0,0.0,"The optimized Ce0.80Hf0.12Sn0.08O2−δ (CHS), Ce0.80Zr0.12Sn0.08O2−δ (CZS), Ce0.80Pr0.12Sn0.08O2−δ (CPS), and Ce0.80La0.12Sn0.08O2−δ (CLS) (mol ratio based on oxides) ternary oxide solid solutions were synthesized by a coprecipitation method. In detail, the desired quantities (see Table S1, ESI†) of Ce(NO3)3·6H2O, SnCl4·5H2O, and other respective metal precursors such as HfCl4, ZrO(NO3)2·xH2O, Pr(NO3)3·6H2O, and La(NO3)3·6H2O were dissolved in distilled water separately and then mixed together for 1 h. Under constant stirring, aqueous ammonia solution was added dropwise to the mixture until the precipitation was complete, at which point the pH was approximately 9.0. The resulting suspensions were stirred for another 12 h, aged for 24 h and then vacuum filtered. Afterwards, the precipitates were washed thoroughly with distilled water and the obtained solids were dried at 373 K overnight and finally calcined at 773 K for 5 h. For comparison, the same synthesis route was employed for the preparation of CeO2.",co-precipitation,co-doped solid solutions undoped co-doping,,6.3,Fluorite,single,True,polyhedra,TEM_20nm_6967aef95c48023e106c0409.png,300.0,0.0,1.0,,False,0.5427,0.0,0.0,,0.0,0.0,0.08,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6967aef95c48023e106c0409,5.0,200.0,0.0,25.0,10.0,10.1039/C5RA00557D,0,20.0
6967af0c5c48023e106c0420,92a49eac657875a560501c4d0a9b7b5949f84d9c,10.1016/j.apcatb.2016.03.030,Mn1Ce1,0.5,105.4,400.0,6.0,0.0,0.0,0.0,0.0,"MnOx-CeO2 catalysts with different Mn/Ce mole ratios (0.33–2) were prepared by a redox co-precipitation method [34]. The KMnO4 precursor dissolved in deionized water, in a 10% stoichiometric excess, was titrated with a solution of Ce(NO3)3 and Mn(NO3)2 at 60 °C under vigorous stirring, keeping pH = 8.0 ± 0.3 using a 0.2 M KOH solution. After titration, the solid was digested for 30 min at 60 °C and then filtered, repeatedly washed with hot distilled water, and dried overnight at 100 °C. Aliquots of the dried samples were further calcined in air at 400 °C (6 h).  N2 adsorption and desorption isotherms were collected on an Autosorb-6 at −198 °C.",redox coprecipitation,composite amorphous solid solution interface,5.0,,Fluorite & amorphous MnOy,multi,True,polyhedra,TEM_100nm_6967af0c5c48023e106c0420,0.0,0.0,0.0,220 umol O2 g-1,False,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6967af0c5c48023e106c0420,10.0,250.0,1.0,30.0,10.0,10.1016/j.apcatb.2016.03.030,0,50.0
6967af0c5220ac46b014124a,f963c1adf94cec2d0d4653335ca1f2be9cb3d460,10.1016/j.apcatb.2016.03.030,Mn0.75Ce1,0.5714285714285714,94.4,400.0,6.0,0.0,0.0,0.0,0.0,"MnOx-CeO2 catalysts with different Mn/Ce mole ratios (0.33–2) were prepared by a redox co-precipitation method [34]. The KMnO4 precursor dissolved in deionized water, in a 10% stoichiometric excess, was titrated with a solution of Ce(NO3)3 and Mn(NO3)2 at 60 °C under vigorous stirring, keeping pH = 8.0 ± 0.3 using a 0.2 M KOH solution. After titration, the solid was digested for 30 min at 60 °C and then filtered, repeatedly washed with hot distilled water, and dried overnight at 100 °C. Aliquots of the dried samples were further calcined in air at 400 °C (6 h).  N2 adsorption and desorption isotherms were collected on an Autosorb-6 at −198 °C.",redox coprecipitation,composite amorphous solid solution interface,7.0,,Fluorite & amorphous MnOy,multi,,,,0.0,0.0,0.0,200 umol O2 g-1,False,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,6967af0c5220ac46b014124a,10.0,250.0,1.0,30.0,10.0,10.1016/j.apcatb.2016.03.030,0,50.0
6967af0d5220ac46b014124d,b97fe25746b5d041eac8005ad26bc0adae0a16b5,10.1016/j.apcatb.2016.03.030,Mn0.33Ce1,0.7518796992481203,77.9,400.0,6.0,0.0,0.0,0.0,0.0,"MnOx-CeO2 catalysts with different Mn/Ce mole ratios (0.33–2) were prepared by a redox co-precipitation method [34]. The KMnO4 precursor dissolved in deionized water, in a 10% stoichiometric excess, was titrated with a solution of Ce(NO3)3 and Mn(NO3)2 at 60 °C under vigorous stirring, keeping pH = 8.0 ± 0.3 using a 0.2 M KOH solution. After titration, the solid was digested for 30 min at 60 °C and then filtered, repeatedly washed with hot distilled water, and dried overnight at 100 °C. Aliquots of the dried samples were further calcined in air at 400 °C (6 h).  N2 adsorption and desorption isotherms were collected on an Autosorb-6 at −198 °C.",redox coprecipitation,composite amorphous solid solution interface,10.8,,Fluorite,single,,,,0.0,0.0,0.0,150 umol O2 g-1,False,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.24812030075187969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6967af0d5220ac46b014124d,10.0,250.0,1.0,30.0,10.0,10.1016/j.apcatb.2016.03.030,0,50.0
6967af305c48023e106c045a,a4facb128c0c9d38097fef872737e79bd3026e09,10.1021/acsami.1c02934,MnCeOx,0.8,63.0,500.0,6.0,0.0,0.013,0.0,0.0,"The microwave-accelerated reaction system (MARS-6) for material synthesis was used in this study and has been described elsewhere. (18) The doped-ceria materials were prepared by dissolving the precursor salts Ce(NO3)3·6H2O and M(NO3)3·xH2O (M = metal heteroatom) in distilled water with the respective molar ratios for obtaining the final composition of M–Ce–O, where M: Fe, Mn, Ni, Co, Zn, Cu, and Zr and nominal M/Ce ratio: 0.25. Citric acid was used as a complexing agent. Calcination in static air, ca. 500 °C for 6 h under atmospheric pressure, was performed in all samples. More details on the applied synthesis and calcination procedures applied are provided in the Supporting Information.",microwave assisted sol-gel,doped nanoparticle,,9.87,Fluorite,single,True,polyhedra,TEM_5nm_6967af305c48023e106c045a.png,0.0,0.0,0.0,,False,5.35,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6967af305c48023e106c045a,10.0,500.0,2.0,25.0,30.0,10.1021/acsami.1c02934,1,30.0
6967af375220ac46b014126a,d6ff7989adfba86e34f970c8106f52ae07853684,10.1016/j.apcatb.2007.09.007,CeZrCu25,0.64,183.0,400.0,4.0,3.3,0.149,0.0,0.0,"The CuO/Ce0.8Zr0.2O2 catalysts with different CuO content were synthesized using a surfactant-assisted method of nanoparticle assembly. At room temperature, 6 mmol of cetyltrimethylammonium bromide (CTAB) was dissolved into 200 ml distilled water under ultrasound irradiation for 15 min, then 8 mmol of Ce(NO3)3·6H2O, 2 mmol of Zr(NO3)4·5H2O and calculated amount of Cu(NO3)2·3H2O were added under vigorous stirring. After stirring for 0.5 h, 0.2 mol/l sodium hydroxide solution was gradually added into the above solution until the pH value of the mixed solution was 10, and then further stirred for about 12 h. The final suspended solution was aged at 90 °C for 3 h, washed with hot water, dried in the oven at 110 °C for 6 h, then milled and calcined at 400 °C for 4 h. The content of CuO was 0, 5, 10, 15, 20, 25, 30, 40 mol%, and the corresponding catalysts were denoted as CeZrCu0, CeZrCu5, CeZrCu10, CeZrCu15, CeZrCu20, CeZrCu25, CeZrCu30, CeZrCu40, respectively. In order to make clear the influence of the calcination temperature on the catalyst property, a series of CeZrCu25 catalysts calcined at different temperature were prepared in the similar manner.",surfactant assisted co-precipitation,mesoporous nanocrystalline particle particles nanoscaled mesoporous nanostructured,,2.3,Fluorite,single,,polyhedra,TEM_20nm_6967af375220ac46b014126a.png,0.0,0.0,0.0,,True,,0.16,0.2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,6967af375220ac46b014126a,5.0,300.0,1.0,25.0,10.0,10.1016/j.apcatb.2007.09.007,0,30.0
