data_config,model_config,split_mode,split_value,train_config,train_r2,train_mse,train_mae,test_r2,test_mse,test_mae
base,standard_mlp,Random_by_Material,0.2,train_config_0,0.546899676322937,0.05139093101024628,0.1839814931154251,0.3209419250488281,0.0721132680773735,0.21305979788303375
base,standard_mlp,Remove_Metal,Fe,train_config_0,0.39652466773986816,0.06828833371400833,0.22532157599925995,0.1883184313774109,0.07575618475675583,0.23096206784248352
base,standard_mlp,Above_WHSV_Threshold,35000,train_config_0,0.5550071597099304,0.049131423234939575,0.1756497174501419,0.35206615924835205,0.07919057458639145,0.22733880579471588
converted,standard_mlp,Random_by_Material,0.2,train_config_0,0.726359486579895,0.03084617108106613,0.12908446788787842,0.6422854661941528,0.03911242261528969,0.14765730500221252
converted,standard_mlp,Remove_Metal,Fe,train_config_0,0.5097706913948059,0.05554220452904701,0.19876623153686523,0.4829081892967224,0.04826141893863678,0.17709477245807648
converted,standard_mlp,Above_WHSV_Threshold,35000,train_config_0,0.008248448371887207,0.1096283346414566,0.29649123549461365,-0.011208415031433105,0.12359005212783813,0.3172345757484436
