_id_material,material_id,_id_reaction,Al,Sc,Ti,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Sr,Y,Zr,Nb,Sn,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Ho,Yb,Lu,Hf,Bi,Pm,Sbet,calcination_temp,calcination_time,single_phase_binary,gas_co_content,gas_o2_content,flow_mL_h_g,pretreatment_temp,pretreatment_o2_vol%,pretreatment_time_h,temperature,conversion
6967aee05c48023e106c03e7,6967aee05c48023e106c03e7,6967aee038e7cc6db0ba7317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.2,500.0,4.0,1,0.01,0.2,12000.0,0.0,0.0,0.0,365.0,0.9
6967aee05c48023e106c03e8,6967aee05c48023e106c03e8,6967aee038e7cc6db0ba7318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.9,500.0,4.0,1,0.01,0.2,12000.0,0.0,0.0,0.0,189.93870284400776,0.05697797824356593
6967aee05c48023e106c03e8,6967aee05c48023e106c03e8,6967aee038e7cc6db0ba7318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.9,500.0,4.0,1,0.01,0.2,12000.0,0.0,0.0,0.0,200.06219858475683,0.11958458098017662
6967aee05c48023e106c03e8,6967aee05c48023e106c03e8,6967aee038e7cc6db0ba7318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.9,500.0,4.0,1,0.01,0.2,12000.0,0.0,0.0,0.0,209.98422499661964,0.344919076678164
6967aee05c48023e106c03e8,6967aee05c48023e106c03e8,6967aee038e7cc6db0ba7318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.9,500.0,4.0,1,0.01,0.2,12000.0,0.0,0.0,0.0,212.2842204894758,0.4999147178107114
6967aee05c48023e106c03e8,6967aee05c48023e106c03e8,6967aee038e7cc6db0ba7318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.9,500.0,4.0,1,0.01,0.2,12000.0,0.0,0.0,0.0,219.93464641456708,1.0005495963309707
6967aee95c48023e106c03f2,6967aee95c48023e106c03f2,6967aee938e7cc6db0ba7337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.3,500.0,3.0,1,0.01,0.05,10000.000000000002,300.0,0.0,1.0,248.0,0.5
6967aee95c48023e106c03f2,6967aee95c48023e106c03f2,6967aee938e7cc6db0ba7337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.3,500.0,3.0,1,0.01,0.05,10000.000000000002,300.0,0.0,1.0,200.0,0.3
6967aee95c48023e106c03f2,6967aee95c48023e106c03f2,6967aee938e7cc6db0ba7337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.3,500.0,3.0,1,0.01,0.05,10000.000000000002,300.0,0.0,1.0,150.0,0.09300000000000001
6967aee95c48023e106c03f2,6967aee95c48023e106c03f2,6967aee938e7cc6db0ba7337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.3,500.0,3.0,1,0.01,0.05,10000.000000000002,300.0,0.0,1.0,275.0,0.624
